city,check-in/check-out,2016,2017,2018,2019,2020,2021,2022
Białystok,registrations of departure,2778,2979,3401,3508,2982,3275,3174
Białystok,registrations for permanent residence,2728,2954,3070,3076,2426,2697,2656
Bydgoszcz,registrations of departure,3147,3234,3826,3996,3674,4091,3805
Bydgoszcz,registrations for permanent residence,2336,2345,2770,3010,1973,2109,1989
Gdańsk,registrations of departure,4029,4505,4813,4570,3790,4552,4303
Gdańsk,registrations for permanent residence,5271,5309,6781,7691,4869,5559,5167
Gorzów Wielkopolski,registrations of departure,1081,1196,1322,1479,1372,1514,1538
Gorzów Wielkopolski,registrations for permanent residence,1215,1152,1256,1233,996,985,886
Katowice,registrations of departure,3308,3503,3772,3843,3074,3640,3288
Katowice,registrations for permanent residence,2471,2783,3020,3149,2709,3557,2800
Kielce,registrations of departure,1729,1936,2278,2323,1826,2168,2158
Kielce,registrations for permanent residence,1507,1366,1696,1849,1475,1694,1471
Kraków,registrations of departure,5625,6205,6539,7002,6177,7226,7358
Kraków,registrations for permanent residence,7432,8207,11253,13974,8680,10463,9244
Lublin,registrations of departure,3175,3353,3789,3948,3255,3838,3545
Lublin,registrations for permanent residence,2952,3074,3634,4141,3073,3461,2946
Łódź,registrations of departure,4528,4951,5432,5534,4694,5149,4884
Łódź,registrations for permanent residence,3696,3714,4234,4448,3356,3855,3784
Olsztyn,registrations of departure,1809,2050,2580,2688,2132,2136,2009
Olsztyn,registrations for permanent residence,1844,1915,2165,2292,1788,1862,1586
Opole,registrations of departure,1115,1144,1174,1352,1155,1268,1167
Opole,registrations for permanent residence,1199,1219,1442,1542,1231,1278,1194
Polska-miasta,registrations of departure,233454,246847,278048,288247,238772,268301,255933
Polska-miasta,registrations for permanent residence,209140,221644,251975,262833,202199,221549,203837
Poznań,registrations of departure,6650,6762,7767,8109,6543,6848,6223
Poznań,registrations for permanent residence,4842,4893,5880,6416,4820,5645,4673
Rzeszów,registrations of departure,1722,2117,2219,2284,1968,2153,2126
Rzeszów,registrations for permanent residence,2925,3146,3501,3747,2825,3450,2895
Szczecin,registrations of departure,3293,3565,3883,3939,3370,3908,3700
Szczecin,registrations for permanent residence,3396,3677,4120,4579,3042,3163,3054
Toruń,registrations of departure,2053,2025,2483,2521,2119,2368,2334
Toruń,registrations for permanent residence,1795,1934,2112,2157,1784,1871,1649
Warszawa,registrations of departure,11659,12743,14716,15968,13828,16517,16112
Warszawa,registrations for permanent residence,19274,20590,25619,26203,18294,20089,18879
Wrocław,registrations of departure,5290,6057,7257,7666,6507,7301,7004
Wrocław,registrations for permanent residence,7318,7443,8730,9742,7794,8261,8030
Zielona Góra,registrations of departure,994,1131,1185,1251,1044,1149,1201
Zielona Góra,registrations for permanent residence,1453,1677,1787,2118,1396,1429,1339
