województwo,ogółem/miasto/wieś,2015,2016,2017,2018,2019,2020,2021,2022
Polska,ogółem,100.0,100.0,100.0,99.9,99.9,99.1,98.6,98.3
Polska,miasto,100.0,99.8,99.8,99.6,99.4,98.3,97.7,97.1
Polska,wieś,100.0,100.2,100.4,100.5,100.5,100.3,100.1,100.0
dolnośląskie,ogółem,100.0,100.0,99.9,99.9,99.9,100.1,99.8,99.4
dolnośląskie,miasto,100.0,99.7,99.4,99.1,98.8,98.3,97.8,97.1
dolnośląskie,wieś,100.0,100.7,101.2,101.7,102.3,104.3,104.3,104.7
kujawsko-pomorskie,ogółem,100.0,99.9,99.8,99.6,99.3,97.4,96.7,96.2
kujawsko-pomorskie,miasto,100.0,99.6,99.3,98.7,98.1,95.6,94.5,93.7
kujawsko-pomorskie,wieś,100.0,100.3,100.7,100.9,101.2,100.1,100.0,99.8
lubelskie,ogółem,100.0,99.7,99.4,99.0,98.5,96.1,95.3,94.6
lubelskie,miasto,100.0,100.1,100.0,99.6,99.1,96.1,95.3,94.6
lubelskie,wieś,100.0,99.3,98.8,98.4,98.0,96.1,95.2,94.6
lubuskie,ogółem,100.0,99.9,99.9,99.7,99.4,97.6,96.8,96.3
lubuskie,miasto,100.0,99.9,99.8,99.6,99.3,97.2,96.1,95.2
lubuskie,wieś,100.0,100.1,100.1,99.7,99.5,98.3,98.2,98.2
łódzkie,ogółem,100.0,99.7,99.3,98.9,98.4,96.9,96.0,95.4
łódzkie,miasto,100.0,99.4,98.8,98.1,97.3,95.4,94.2,93.4
łódzkie,wieś,100.0,100.1,100.2,100.3,100.3,99.4,99.1,98.8
małopolskie,ogółem,100.0,100.3,100.6,100.8,101.1,101.8,101.7,101.7
małopolskie,miasto,100.0,100.2,100.2,100.2,100.6,100.9,100.6,100.3
małopolskie,wieś,100.0,100.4,100.9,101.4,101.7,102.6,102.8,102.9
mazowieckie,ogółem,100.0,100.3,100.7,101.0,101.4,103.2,103.1,103.0
mazowieckie,miasto,100.0,100.3,100.7,101.2,101.7,103.7,103.6,103.6
mazowieckie,wieś,100.0,100.3,100.5,100.7,100.9,102.2,102.1,101.9
opolskie,ogółem,100.0,99.7,99.4,99.0,98.7,96.0,95.2,94.6
opolskie,miasto,100.0,99.6,101.0,101.7,101.2,98.3,97.3,96.4
opolskie,wieś,100.0,99.8,97.6,96.2,96.0,93.4,93.0,92.7
podkarpackie,ogółem,100.0,100.0,100.1,100.1,100.0,98.5,98.0,97.7
podkarpackie,miasto,100.0,99.8,99.8,99.7,100.3,98.3,97.9,97.3
podkarpackie,wieś,100.0,100.1,100.2,100.3,99.7,98.7,98.1,98.0
podlaskie,ogółem,100.0,99.8,99.6,99.4,99.1,97.3,96.6,96.2
podlaskie,miasto,100.0,100.0,99.9,99.8,99.6,97.9,97.2,96.7
podlaskie,wieś,100.0,99.6,99.3,98.8,98.4,96.4,95.8,95.4
pomorskie,ogółem,100.0,100.3,100.7,101.1,101.6,102.2,102.2,102.2
pomorskie,miasto,100.0,100.0,99.9,99.9,100.1,100.2,99.7,99.3
pomorskie,wieś,100.0,101.0,102.2,103.3,104.2,105.8,106.7,107.5
śląskie,ogółem,100.0,99.7,99.5,99.2,98.8,96.5,95.7,95.1
śląskie,miasto,100.0,99.6,99.2,98.7,98.2,95.3,94.3,93.6
śląskie,wieś,100.0,100.3,100.6,100.9,101.1,100.5,100.4,100.2
świętokrzyskie,ogółem,100.0,99.7,99.2,98.8,98.2,95.4,94.5,93.7
świętokrzyskie,miasto,100.0,99.5,99.1,99.2,99.8,96.2,95.1,94.1
świętokrzyskie,wieś,100.0,99.8,99.4,98.4,96.8,94.8,94.0,93.4
warmińsko-mazurskie,ogółem,100.0,99.8,99.6,99.3,98.8,96.2,95.5,94.9
warmińsko-mazurskie,miasto,100.0,99.7,99.5,99.1,99.0,96.6,95.7,94.8
warmińsko-mazurskie,wieś,100.0,99.9,99.7,99.4,98.5,95.7,95.2,95.0
wielkopolskie,ogółem,100.0,100.2,100.4,100.5,100.7,100.9,100.7,100.5
wielkopolskie,miasto,100.0,99.8,99.8,99.4,99.1,98.7,98.3,97.6
wielkopolskie,wieś,100.0,100.6,101.1,101.9,102.6,103.6,103.7,104.0
zachodniopomorskie,ogółem,100.0,99.9,99.7,99.4,99.2,97.1,96.5,95.9
zachodniopomorskie,miasto,100.0,99.8,99.8,99.4,99.0,96.9,96.0,95.2
zachodniopomorskie,wieś,100.0,100.1,99.6,99.7,99.6,97.6,97.4,97.4
